Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1781885531,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781885532,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781885533,20,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781885534,30,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781885535,50,,Aggregated,0.000000,0.000000,3900,3900,4000,4000,4000,4000,4000,4000,4000,4000,4000,4,0,3900,3888.7488250620663,3843.100500293076,3985.0279996171594,52.0
1781885536,60,,Aggregated,0.000000,0.000000,4200,4200,4200,4200,4400,4400,4400,4400,4400,4400,4400,8,0,4000,4077.003274927847,3843.100500293076,4448.158599436283,52.0
1781885538,70,,Aggregated,0.800000,0.000000,4400,5100,5100,5100,6100,6100,6100,6100,6100,6100,6100,15,0,4400,4668.018693414827,3843.100500293076,6141.859800554812,52.0
1781885539,80,,Aggregated,0.800000,0.000000,4200,5100,5100,5100,6100,6100,6100,6100,6100,6100,6100,19,0,4200,4356.944231561532,2362.910599447787,6141.859800554812,83.42105263157895
1781885540,90,,Aggregated,1.857143,0.000000,5100,5600,6100,6100,6900,7000,7100,7100,7100,7100,7100,26,0,4900,4843.622803831329,2362.910599447787,7111.742499284446,75.23076923076923
1781885541,100,,Aggregated,1.857143,0.000000,5100,6000,6100,6600,7000,7100,7100,7100,7100,7100,7100,29,0,5100,4952.752910329607,2362.910599447787,7111.742499284446,79.65517241379311
1781885542,100,,Aggregated,2.375000,0.000000,5100,6100,6600,6900,7100,7900,8000,8000,8000,8000,8000,34,0,5100,5220.787935287637,2362.910599447787,8049.680300056934,87.23529411764706
1781885543,100,,Aggregated,2.666667,0.000000,5300,6100,7000,7100,8000,8300,8800,8800,8800,8800,8800,39,0,5300,5540.1079615052695,2362.910599447787,8757.385599426925,82.8974358974359
1781885544,100,,Aggregated,3.400000,0.000000,5900,6600,7100,7300,8300,8800,9000,9000,9000,9000,9000,46,0,5900,5792.5454086583595,2362.910599447787,9031.576099805534,95.41304347826087
1781885545,100,,Aggregated,3.400000,0.000000,6100,6900,7600,8300,9000,9300,9500,9700,9700,9700,9700,54,0,6000,6161.649931463654,2362.910599447787,9686.393399722874,99.98148148148148
1781885546,100,,Aggregated,3.900000,0.000000,6100,7100,8300,8800,9500,9800,9900,11000,11000,11000,11000,58,0,6100,6434.274710313385,2362.910599447787,10890.172699466348,96.67241379310344
1781885547,100,,Aggregated,4.500000,0.000000,6500,7900,8700,9200,9800,10000,10000,11000,11000,11000,11000,65,0,6500,6739.101859970162,2362.910599447787,10890.172699466348,95.12307692307692
1781885548,100,,Aggregated,5.400000,0.000000,6900,8300,9200,9500,10000,11000,12000,12000,12000,12000,12000,71,0,6900,7100.447332368455,2362.910599447787,12061.534499749541,94.26760563380282
1781885549,100,,Aggregated,5.700000,0.000000,7300,8700,9300,9800,11000,12000,12000,12000,12000,12000,12000,79,0,7300,7373.3399113805235,2362.910599447787,12061.534499749541,100.10126582278481
1781885550,100,,Aggregated,5.400000,0.000000,8000,9000,9800,10000,12000,12000,13000,13000,13000,13000,13000,88,0,8000,7773.76735906794,2362.910599447787,13285.657700151205,104.18181818181819
1781885551,100,,Aggregated,5.400000,0.000000,8200,9200,9800,10000,12000,13000,13000,13000,13000,13000,13000,91,0,8200,7935.163206574353,2362.910599447787,13285.657700151205,102.46153846153847
1781885552,100,,Aggregated,6.200000,0.000000,8600,9700,10000,11000,13000,13000,14000,14000,14000,14000,14000,99,0,8600,8277.112128269491,2362.910599447787,14091.248599812388,104.38383838383838
1781885553,100,,Aggregated,6.200000,0.000000,8700,9800,11000,12000,13000,13000,14000,14000,14000,14000,14000,103,0,8700,8456.868932030879,2362.910599447787,14091.248599812388,102.41747572815534
1781885554,100,,Aggregated,6.300000,0.000000,8700,9900,11000,12000,14000,14000,16000,16000,16000,16000,16000,109,0,8700,8816.378502747677,2362.910599447787,15838.433199562132,99.64220183486239
1781885555,100,,Aggregated,6.300000,0.000000,9000,10000,12000,13000,14000,15000,16000,16000,16000,16000,16000,114,0,9000,9066.766568418723,2362.910599447787,16392.964799888432,99.28947368421052
1781885556,100,,Aggregated,6.300000,0.000000,9300,11000,13000,13000,15000,16000,17000,17000,17000,17000,17000,123,0,9300,9497.262782129512,2362.910599447787,16869.761399924755,102.26829268292683
1781885557,100,,Aggregated,5.700000,0.000000,9800,12000,13000,13000,15000,16000,17000,17000,18000,18000,18000,140,0,9800,9908.948682168764,2362.910599447787,18225.85959918797,111.87142857142857
1781885558,100,,Aggregated,6.100000,0.000000,9900,12000,13000,14000,15000,16000,18000,18000,18000,18000,18000,155,1,9900,10087.645553569158,2362.910599447787,18357.617300003767,116.56774193548387
1781885559,100,,Aggregated,6.600000,0.000000,9200,11000,13000,13000,15000,16000,18000,18000,19000,19000,19000,179,1,9200,9641.33819442388,2362.910599447787,19055.35909999162,129.08379888268158
1781885560,100,,Aggregated,8.100000,0.000000,9000,11000,13000,13000,15000,17000,19000,19000,20000,20000,20000,191,1,9000,9457.969151320258,2253.929099999368,19565.2470998466,131.57068062827224
1781885561,100,,Aggregated,8.500000,0.100000,8700,11000,13000,13000,16000,17000,19000,20000,20000,20000,20000,216,1,8700,9073.127616209806,2028.2466998323798,20295.014900155365,139.90740740740742
1781885562,100,,Aggregated,10.000000,0.100000,8800,11000,13000,14000,16000,17000,20000,20000,21000,21000,21000,246,2,8700,9103.488431300786,2028.2466998323798,20973.67489989847,147.1219512195122
1781885563,100,,Aggregated,11.100000,0.100000,8500,11000,12000,13000,16000,17000,19000,20000,21000,21000,21000,285,2,8500,8580.954924555856,2028.2466998323798,20973.67489989847,157.17894736842106
1781885564,100,,Aggregated,12.700000,0.100000,7400,9900,12000,13000,16000,17000,19000,20000,21000,21000,21000,320,2,7300,7885.071929055266,1079.3377002701163,20973.67489989847,163.75
